code	name	license	status_name	city
TX	DHANAWIBAWA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	
XA	NH KORINDO SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
XC	AJAIB SEKURITAS ASIA	Perantara Pedagang Efek	Aktif	Jakarta Barat
XL	MAHAKARYA ARTHA SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
YB	JASA UTAMA CAPITAL SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
YJ	LOTUS ANDALAN SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
YO	AMANTARA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
YP	MIRAE ASSET SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
YU	CGS-CIMB SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
ZP	MAYBANK KIM ENG SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
ZR	BUMIPUTERA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
