"BERAS KEPALA",No,No,Aktif
"Beras Ketan (Glutinous Rice)",No,No,Aktif
"Beras Ketan Hitam (Black Glutinous Rice)",No,No,Aktif
"Beras Ketan Putih (White Glutinous Rice)",No,No,Aktif
"Beras Merah (Brown Rice)",No,No,Aktif
"Beras Merah Krispi (Brown Rice Crispy)",No,No,Aktif
"Beras Merah Utuh (Whole Brown Rice)",No,No,Aktif
"Beras Pandan Wangi",No,No,Aktif
"Beras Panggang (Roasted Rice)",No,No,Aktif
"Beras Utuh (Whole Rice)",No,No,Aktif
"BESI FOSFAT (FERROUS PHOSPHATE)",No,No,Aktif
"BESI FUMARAT (FERROUS FUMARATE)",No,No,Aktif
"Besi Glukonat",No,No,Aktif
"BESI LAKTAT (FERROUS LACTATE)",No,No,Aktif
"BESI ORTOFOSFAT (FERROUS ORTHOPHOSPHATE)",No,No,Aktif
"BESI PIROFOSFAT (FERROUS PYROPHOSPHATE)",No,No,Aktif
"Besi Sitrat (Ferrous Citrate)",No,No,Aktif
"BESI SULFAT  (FERROUS SULPHATE)",No,No,Aktif
"BESI SULFATE (FERROUS SULPHATE)",No,No,Nonaktif
"BESI TRIOKSIDA (FERROUS TRIOXIDE)",No,No,Aktif
"Beta Glukan (Beta-Glucan)",No,No,Aktif
"BETA GLUKAN DARI SACCHAROMYCES CEREVISIAE",No,No,Aktif
"BETA KAROTEN (BETA-CAROTENE)",No,No,Aktif
"Beta Palmitat (sn-2 palmitic acid)",No,No,Aktif
"Bifidobacterium Animalis",No,No,Aktif
"Bifidobacterium longum",No,No,Aktif
"Bifidobakterium Breve",No,No,Aktif
"Bifidobakterium Laktis",No,No,Aktif
"Bifidobakterium Longum",No,No,Aktif
"Bihun (Vermicelli)",No,No,Aktif
"Bihun Kentang (Potato Vermicelli)",No,No,Aktif
"Biji Amaranthus hypochondriacus",No,No,Aktif
"BIJI ANGGUR (GRAPE SEED)",No,No,Aktif
"Biji Aprikot (Apricot Seed)",No,No,Aktif
"Biji Blond Grain Husk (Semen Triticum aestivum)",No,No,Aktif
"BIJI BUNCIS (BAKED BEAN)",No,No,Nonaktif
"Biji Bunga Matahari (Sunflower Seed)",No,No,Aktif
"BIJI BUNGA TERATAI-LOTUS SEED (NELUMBIUM NELUMBO DRUCE; NELUMBIUM NUCIFERUM)",No,No,Aktif
"Biji Cabe (Chili Seed)",No,No,Aktif
"BIJI CARAWAY (CARAWAY SEED)",No,No,Nonaktif
"BIJI CHIA (SALVIA HISPANICA)",No,No,Aktif
"BIJI COKELAT-BIJI KAKAO (COCOA BEAN)",No,No,Aktif
"Biji Delima (Pomegranate Seed)",No,No,Aktif
"Biji Kopi (Coffee Bean)",No,No,Aktif
"Biji Kopi Arabika (Arabica Coffee Bean)",No,No,Aktif
"Biji Kopi Hijau (Green Coffee Bean)",No,No,Aktif
"Biji Kopi Panggang (Roasted Coffee Bean)",No,No,Aktif
"Biji Kopi Robusta (Robusta Coffee Bean)",No,No,Aktif
"Biji Labu (Pumpkin Seed)",No,No,Aktif
"Biji Labu Putih",No,No,Aktif
"Biji Leci (Lychee Seed)",No,No,Aktif
"Biji Lin (Lin Seed)",No,No,Aktif
"BIJI LUPIN (LUPIN BEAN)",No,No,Aktif
"Biji Melinjo - Belinjo (Gnetum gnemon)",No,No,Aktif
"Biji Melon (Melon Seeds)",No,No,Aktif
"Biji Mustard (Mustard Seed)",No,No,Aktif
"Biji Pala (Nutmeg)",No,No,Aktif
"BIJI PERILLA - PERILLA SEED",No,No,Aktif
"Biji Pinus (Pinecone)",No,No,Aktif
"Biji Plantago",No,No,Nonaktif
"BIJI POPPY (PAPAVER SOMNIFERUM)",No,No,Nonaktif
"BIJI QUINOA (CHENOPODIUM QUINOA WILLDENOW)",No,No,Aktif
"Biji Rami (Flaxseed)",No,No,Aktif
"Biji Rami Bubuk (Flaxseed Powder)",No,No,Aktif
"BIJI SAFFLOWER",No,No,Nonaktif
"Biji Sawi (Mustard Green Seed)",No,No,Aktif
"Biji Selasih (Basil Seed)",No,No,Aktif
"Biji Seledri (Celery Seed)",No,No,Aktif
"Biji Semangka (Watermelon Seed)",No,No,Aktif
"Biji Teff (Teff Grain)",No,No,Aktif
"BIJI VANILA (VANILA BEAN)",No,No,Aktif
BIOTIN,No,No,Nonaktif
"Bir (Beer)",No,No,Aktif
"BISKUIT (BISCUIT)",No,No,Aktif
"Bit (Beetroot)",No,No,Aktif
"Bit Bubuk (Beetroot Powder)",No,No,Aktif
"Bit Merah (Red Beetroot)",No,No,Aktif
"Bit Merah Bubuk (Red Beetroot Powder)",No,No,Aktif
"BLACKCURRANT BUBUK (BLACKCURRANT POWDER)",No,No,Aktif
"Blondo / Galendo",No,No,Aktif
"BLUEBERRY KERING (DRIED BLUEBERRY)",No,No,Aktif
"BLUEBERRY PASTA (BLUEBERRY PASTE)",No,No,Aktif
"Bonggol Pisang",No,No,Aktif
"Brandy (Brandy)",No,No,Aktif
Brem,No,No,Aktif
"Brokoli (Brocoli)",No,No,Aktif
"BROKOLI BUBUK (BROCCOLI POWDER)",No,No,Aktif
"BUAH ACAI BERRY (EUTERPE OLERACEA)",No,No,Aktif
"Buah Anggur (Grape)",No,No,Aktif
"Buah Anggur Bubuk (Grape Powder)",No,No,Aktif
"BUAH ANGGUR KERING (DRIED GRAPES)",No,No,Aktif
"Buah Anggur Merah Bubuk (Red Grape Powder)",No,No,Aktif
"Buah Apel (Apple)",No,No,Aktif
"Buah Apel Hijau (Green Apple)",No,No,Aktif
"Buah Apel Merah (Red Apple)",No,No,Aktif
"BUAH ARA (BUAH FIG, BUAH TIN)",No,No,Aktif
"BUAH ARONIA BUBUK - ARONIA BERRY POWDER)",No,No,Aktif
"BUAH ATAP",No,No,Nonaktif
"BUAH BAKU",No,No,Nonaktif
"Buah Belimbing (Starfruit)",No,No,Aktif
"Buah Beri (Berry)",No,No,Aktif
"Buah Beri Hitam (Blackberry)",No,No,Aktif
"Buah Beri Merah (Redberry)",No,No,Aktif
"BUAH BILBERRY (BILBERRY)",No,No,Aktif
"Buah Blackcurrant (Blackcurrant)",No,No,Aktif
"BUAH BLUEBERRY (BLUEBERRY)",No,No,Aktif
"Buah Boysenberry (Boysenberry)",No,No,Aktif
"BUAH BUBUK (FRUIT POWDER)",No,No,Aktif
"Buah Ceri (Cherry)",No,No,Aktif
"Buah Ceri Hitam (Black Cherry)",No,No,Aktif
"Buah Ceri Merah (Red Cherry)",No,No,Aktif
"BUAH CRANBERRY (CRANBERRY)",No,No,Aktif
"Buah Delima (Pomegranate)",No,No,Aktif
"BUAH DHAL BUBUK (DHAL POWDER)",No,No,Nonaktif
"Buah Durian (Durian)",No,No,Aktif
"BUAH DURIAN MONTHONG (DURIAN MONTHONG)",No,No,Nonaktif
"BUAH ELDERBERRY (ELDERBERRY)",No,No,Aktif
"BUAH FRAMBOZEN (FRAMBOZEN)",No,No,Nonaktif
"BUAH GAC (MOMORDICA COCHINCHINENSIS)",No,No,Aktif
"BUAH GOJI BERRY - BARBARY WOLFBERRY",No,No,Aktif
