release,date,author,status,maturity,version,first,distribution,abstract
Polycom-Contact-Directory-0.06,2021-07-31T06:02:14,ZBLAIR,latest,released,0.06,,Polycom-Contact-Directory,"Parse local contact directory files for Polycom VoIP phones"
FCGI-0.82,2021-07-31T03:26:34,ETHER,latest,released,0.82,,FCGI,"Fast CGI module"
Bencher-Scenario-Serializers-0.160,2021-07-31T01:42:43,PERLANCAR,cpan,released,0.160,,Bencher-Scenario-Serializers,"Benchmark Perl data serialization modules"
Bencher-Scenarios-CloneModules-0.051,2021-07-31T01:35:50,PERLANCAR,latest,released,0.051,,Bencher-Scenarios-CloneModules,"Scenarios related to data cloning modules"
Acme-CPANModules-TextTable-0.012,2021-07-31T01:29:06,PERLANCAR,latest,released,0.012,,Acme-CPANModules-TextTable,"Modules that generate text tables"
Bencher-Scenarios-CloneModules-0.050,2021-07-31T01:24:50,PERLANCAR,backpan,released,0.050,,Bencher-Scenarios-CloneModules,"Scenarios related to data cloning modules"
Bencher-Backend-1.058,2021-07-31T01:24:38,PERLANCAR,backpan,released,1.058,,Bencher-Backend,"Backend for Bencher"
Bencher-Scenarios-StringFunctions-0.005,2021-07-31T00:57:18,PERLANCAR,latest,released,0.005,,Bencher-Scenarios-StringFunctions,"Benchmark string functions"
Module-FeaturesUtil-Get-0.003,2021-07-31T00:05:13,PERLANCAR,backpan,released,0.003,,Module-FeaturesUtil-Get,"Get a feature"
Test-Harness-3.43_03,2021-07-30T23:51:07,LEONT,cpan,developer,3.43_03,,Test-Harness,"contributing to TAP::Harness"
FCGI-0.81,2021-07-30T23:19:01,ETHER,cpan,released,0.81,,FCGI,"Fast CGI module"
Class-Data-Inheritable-0.09,2021-07-30T22:58:12,RSHERER,latest,released,0.09,,Class-Data-Inheritable,"Inheritable, overridable class data"
Alien-GSL-1.07,2021-07-30T22:58:01,PLICEASE,latest,released,1.07,,Alien-GSL,"Easy installation of the GSL library"
Nasm-X86-20210729,2021-07-30T21:39:26,PRBRENAN,cpan,released,20210729,,Nasm-X86,"Generate X86 assembler code using Perl as a macro pre-processor."
PDL-Graphics-PLplot-0.77,2021-07-30T18:42:34,ETJ,cpan,released,0.77,,PDL-Graphics-PLplot,"Object-oriented interface from perl/PDL to the PLPLOT plotting library"
Alien-GSL-1.06_01,2021-07-30T18:29:43,PLICEASE,backpan,developer,1.06_01,,Alien-GSL,"Easy installation of the GSL library"
App-ElasticSearch-Utilities-7.9,2021-07-30T18:20:59,BLHOTSKY,cpan,released,7.9,,App-ElasticSearch-Utilities,"Utilities for Monitoring ElasticSearch"
Graphite-Simple-0.03,2021-07-30T17:01:14,CDN,backpan,released,0.02,,Graphite-Simple,"Perl XS package provides methods to collect metrics and send them to Graphite server."
Getopt-EX-Hashed-0.9904,2021-07-30T16:49:35,UTASHIRO,cpan,released,0.9904,,Getopt-EX-Hashed,"Hash store object automation"
Neo4j-Driver-0.26,2021-07-30T15:37:34,AJNN,cpan,released,0.26,,Neo4j-Driver,"Neo4j community graph database driver for Bolt and HTTP"
DBD-SQLite-1.69_02,2021-07-30T14:21:39,ISHIGAKI,cpan,developer,1.69_02,,DBD-SQLite,"Self Contained SQLite RDBMS in a DBI Driver"
Syntax-Construct-1.022,2021-07-30T13:10:45,CHOROBA,latest,released,1.022,,Syntax-Construct,"Explicitly state which non-feature constructs are used in the code."
experimental-0.025,2021-07-30T12:42:41,LEONT,latest,released,0.025,,experimental,"Experimental features made easy"
Astro-Coord-ECI-TLE-Iridium-0.130_01,2021-07-30T11:52:01,WYANT,backpan,developer,0.130_01,,Astro-Coord-ECI-TLE-Iridium,"Class to compute Iridium Classic flares"
Text-PO-v0.1.3,2021-07-30T09:42:53,JDEGUEST,cpan,released,v0.1.3,,Text-PO,"Read and write PO files"
Number-ZipCode-JP-0.20210730,2021-07-30T08:36:46,TANIGUCHI,cpan,released,0.20210730,,Number-ZipCode-JP,"Validate Japanese zip-codes"
XML-Grammar-Fiction-0.24.0,2021-07-30T08:21:55,SHLOMIF,cpan,released,0.24.0,,XML-Grammar-Fiction,"CPAN distribution implementing an XML grammar and a lightweight markup language for stories, novels and other fiction."
MooX-MouseTypeConstraints-0.01,2021-07-30T04:16:43,KARUPA,latest,released,0.01,1,MooX-MouseTypeConstraints,"Mouse type constraints for Moo"
Sah-Schemas-Examples-0.007,2021-07-30T02:39:23,PERLANCAR,latest,released,0.007,,Sah-Schemas-Examples,"Various example Sah schemas"
Lang-Go-Mod-0.005,2021-07-30T01:27:12,BCLAWSIE,latest,released,0.005,,Lang-Go-Mod,"parse and model go.mod files"
Lang-Go-Mod-0.004,2021-07-30T01:04:12,BCLAWSIE,cpan,released,0.004,,Lang-Go-Mod,"parse and model go.mod files"
Lang-Go-Mod-0.003,2021-07-30T00:38:41,BCLAWSIE,cpan,released,0.003,,Lang-Go-Mod,"parse and model go.mod files"
CPAN-Meta-X-0.003,2021-07-30T00:06:19,PERLANCAR,cpan,released,0.003,,CPAN-Meta-X,"List of custom (x_*) keys in CPAN distribution metadata being used in the wild"
Bencher-Scenarios-StringFunctions-0.004,2021-07-30T00:04:52,PERLANCAR,backpan,released,0.004,,Bencher-Scenarios-StringFunctions,"Benchmark string functions"
PLS-0.895,2021-07-29T23:53:31,MREISNER,cpan,released,0.895,,PLS,"Perl Language Server"
DBD-SQLite-1.69_01,2021-07-29T21:09:19,ISHIGAKI,cpan,developer,1.69_01,,DBD-SQLite,"Self Contained SQLite RDBMS in a DBI Driver"
String-Nudge-1.0002,2021-07-29T20:09:44,CSSON,latest,released,1.0002,,String-Nudge,"Indents all lines in a multi-line string"
App-DBBrowser-2.279,2021-07-29T17:43:01,KUERBIS,cpan,released,2.279,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Rex-Hook-File-Diff-v0.3.0.1-TRIAL,2021-07-29T16:57:23,FERKI,cpan,developer,v0.3.0.1,,Rex-Hook-File-Diff,"show diff of changes for files managed by Rex"
FFI-Platypus-1.55,2021-07-29T16:44:34,PLICEASE,latest,released,1.55,,FFI-Platypus,"Write Perl bindings to non-Perl libraries with FFI. No XS required."
Data-Sah-Resolve-0.011,2021-07-29T16:02:29,PERLANCAR,latest,released,0.011,,Data-Sah-Resolve,"Resolve Sah schema"
Sah-Schemas-Unix-0.018,2021-07-29T16:01:03,PERLANCAR,latest,released,0.018,,Sah-Schemas-Unix,"Various Sah schemas for Unix"
Perinci-Sub-GetArgs-Argv-0.846,2021-07-29T16:00:51,PERLANCAR,latest,released,0.846,,Perinci-Sub-GetArgs-Argv,"Get subroutine arguments from command line arguments (@ARGV)"
Perinci-Sub-Gen-AccessTable-0.587,2021-07-29T16:00:40,PERLANCAR,latest,released,0.587,,Perinci-Sub-Gen-AccessTable,"Generate function (and its metadata) to read table data"
Perinci-CmdLine-Util-Config-1.725,2021-07-29T15:59:13,PERLANCAR,latest,released,1.725,,Perinci-CmdLine-Util-Config,"Utility routines related to config files"
Dist-Zilla-Plugin-Sah-Schemas-0.026,2021-07-29T15:59:02,PERLANCAR,backpan,released,0.026,,Dist-Zilla-Plugin-Sah-Schemas,"Plugin to use when building Sah-Schemas-* distribution"
Dist-Zilla-Plugin-Sah-Schemas-0.025,2021-07-29T15:58:50,PERLANCAR,backpan,released,0.025,,Dist-Zilla-Plugin-Sah-Schemas,"Plugin to use when building Sah-Schemas-* distribution"
Dist-Zilla-Plugin-Sah-Schemas-0.024,2021-07-29T15:58:39,PERLANCAR,backpan,released,0.024,,Dist-Zilla-Plugin-Sah-Schemas,"Plugin to use when building Sah-Schemas-* distribution"
Data-Sah-Util-Subschema-0.005,2021-07-29T15:58:28,PERLANCAR,latest,released,0.005,,Data-Sah-Util-Subschema,"Extract subschemas from a schema"
Data-Sah-Resolve-0.010,2021-07-29T15:58:17,PERLANCAR,backpan,released,0.010,,Data-Sah-Resolve,"Resolve Sah schema"
Data-Sah-Resolve-0.009,2021-07-29T15:58:06,PERLANCAR,backpan,released,0.009,,Data-Sah-Resolve,"Resolve Sah schema"
Data-Sah-Normalize-0.051,2021-07-29T15:57:55,PERLANCAR,latest,released,0.051,,Data-Sah-Normalize,"Normalize Sah schema"
Data-Sah-0.909,2021-07-29T15:57:44,PERLANCAR,backpan,released,0.909,,Data-Sah,"Fast and featureful data structure validation"
Complete-Sah-0.008,2021-07-29T15:57:32,PERLANCAR,latest,released,0.008,,Complete-Sah,"Sah-related completion routines"
App-SahUtils-0.479,2021-07-29T15:57:21,PERLANCAR,cpan,released,0.479,,App-SahUtils,"Collection of CLI utilities for Sah and Data::Sah"
App-SahUtils-0.478,2021-07-29T15:57:10,PERLANCAR,backpan,released,0.478,,App-SahUtils,"Collection of CLI utilities for Sah and Data::Sah"
Acme-CPANModulesUtil-FeatureMatrix-0.005,2021-07-29T15:56:59,PERLANCAR,latest,released,0.005,,Acme-CPANModulesUtil-FeatureMatrix,"Draw features matrix of modules in an Acme::CPANModules::* list"
App-DBBrowser-2.278,2021-07-29T15:50:17,KUERBIS,backpan,released,2.278,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
App-ansifold-1.09,2021-07-29T13:37:32,UTASHIRO,cpan,released,1.09,,App-ansifold,"fold command handling ANSI terminal sequences"
EekBoek-2.051,2021-07-29T13:28:24,JV,latest,released,2.051,,EekBoek,"Bookkeeping software for small and medium-size businesses"
OPCUA-Open62541-0.027,2021-07-29T13:02:41,BLUHM,cpan,released,0.027,,OPCUA-Open62541,"Perl XS wrapper for open62541 OPC UA library"
Ozeki-Libs-Rest,2021-07-29T11:50:01,ZUSY,backpan,released,1.0.0,1,Ozeki-Libs-Rest,"You can use this module to send SMS messages with the Ozeki SMS Gateway using Perl."
Date-ManipX-Almanac-0.001_01,2021-07-29T11:39:42,WYANT,backpan,developer,0.001_01,,Date-ManipX-Almanac,"Add almanac date/time functionality (sunrise, etc.) to Date::Manip"
Object-Pad-SlotAttr-Trigger-0.01,2021-07-29T10:26:14,PEVANS,backpan,released,0.01,1,Object-Pad-SlotAttr-Trigger,"invoke an instance method after a :writer accessor"
Object-Pad-SlotAttr-Final-0.01,2021-07-29T10:14:26,PEVANS,cpan,released,0.01,1,Object-Pad-SlotAttr-Final,"declare Object::Pad slots readonly after construction"
Object-Pad-0.47,2021-07-29T10:14:14,PEVANS,backpan,released,0.47,,Object-Pad,"a simple syntax for lexical slot-based objects"
Getopt-EX-Hashed-0.9903,2021-07-29T09:38:37,UTASHIRO,cpan,released,0.9903,,Getopt-EX-Hashed,"Hash store object automation"
EekBoek-2.05.1,2021-07-29T07:44:49,JV,backpan,released,v2.05.1,,EekBoek,"Bookkeeping software for small and medium-size businesses"
Nasm-X86-20210728,2021-07-29T07:04:06,PRBRENAN,backpan,released,20210728,,Nasm-X86,"Generate X86 assembler code using Perl as a macro pre-processor."
Nasm-X86-20210727,2021-07-29T06:57:27,PRBRENAN,backpan,released,20210727,,Nasm-X86,"Generate X86 assembler code using Perl as a macro pre-processor."
PDL-Graphics-PLplot-0.76,2021-07-29T05:55:20,ETJ,backpan,released,0.76,,PDL-Graphics-PLplot,"Object-oriented interface from perl/PDL to the PLPLOT plotting library"
PDL-Graphics-PLplot-0.75,2021-07-29T05:41:08,ETJ,backpan,released,0.75,,PDL-Graphics-PLplot,"Object-oriented interface from perl/PDL to the PLPLOT plotting library"
Zapp-0.005,2021-07-29T00:30:39,PREACTION,latest,released,0.005,,Zapp,"Plan building, job creating web app"
